read,type,id,X,Y,Z
1,1,1,630,2,10
2,3,1,268,595,16
3,5,2,270,506,6
4,1,3,222,577,11
5,3,1,304,320,18
6,5,3,152,97,8
7,4,3,646,399,9
8,3,2,716,175,11
9,2,2,137,576,5
10,5,1,481,545,12
11,1,3,747,148,19
12,1,2,666,259,23
13,5,2,424,205,21
14,4,1,509,1,13
15,3,2,577,123,19
16,1,2,16,539,24
17,2,3,376,439,3
18,4,1,324,433,8
19,5,1,185,202,9
20,2,2,609,159,7
21,1,2,186,332,20
22,5,2,347,261,15
23,4,2,189,208,20
24,3,2,590,498,22
25,2,1,711,411,10
26,5,1,345,34,14
27,1,3,269,599,23
28,4,3,393,324,23
29,3,1,513,254,12
30,4,3,723,258,19
31,4,1,26,566,4
32,3,2,47,505,11
33,1,1,465,225,25
34,3,3,69,269,12
35,2,3,495,275,25
36,3,3,742,520,11
37,1,2,734,64,16
38,3,1,562,526,17
39,4,3,648,336,14
40,1,2,110,93,5
41,2,3,194,96,7
42,4,3,130,105,16
43,3,2,93,178,18
44,3,3,473,177,15
45,5,2,503,509,2
46,5,3,142,451,23
47,2,1,514,454,16
48,3,2,159,336,2
49,3,1,605,8,13
50,3,2,730,434,20
51,3,2,758,569,10
52,3,3,451,3,22
53,4,2,491,144,6
54,2,3,421,458,23
55,1,3,570,25,10
56,2,2,497,226,7
57,2,1,796,39,5
58,1,2,11,140,17
59,3,2,745,58,1
60,2,1,478,438,21
61,3,1,564,378,23
62,1,1,271,135,3
63,1,1,739,516,18
64,5,2,321,481,3
65,5,3,188,66,22
66,4,1,546,407,17
67,5,3,47,322,1
68,1,1,439,568,9
69,2,2,113,85,2
70,3,2,210,555,25
71,5,1,118,283,24
72,1,1,793,493,17
73,1,1,136,506,13
74,3,3,52,335,24
75,3,1,329,393,21
76,3,2,522,243,15
77,1,1,615,494,20
78,5,1,610,49,5
79,4,3,748,76,24
80,2,1,93,378,11
81,4,1,102,237,7
82,2,1,642,563,11
83,1,3,293,546,24
84,2,2,612,552,16
85,3,1,744,7,9
86,5,1,252,237,4
87,1,3,725,453,1
88,2,2,567,483,6
89,2,3,81,207,10
90,1,3,427,6,2
91,1,1,689,167,20
92,5,3,706,375,22
93,3,2,257,515,25
94,2,1,433,388,17
95,2,1,634,90,18
96,4,3,418,121,25
97,4,2,280,466,16
98,4,1,279,108,7
99,1,2,55,530,12
100,3,2,594,515,23
101,5,3,498,256,6
102,4,1,449,493,1
103,3,2,238,233,1
104,4,2,450,109,5
105,5,1,135,145,16
106,4,1,193,427,16
107,5,1,431,396,14
108,1,3,455,302,13
109,3,2,307,441,16
110,1,3,612,191,6
111,1,1,159,188,10
112,3,2,291,357,7
113,2,1,287,468,21
114,2,2,164,70,6
115,5,3,567,292,14
116,1,3,579,579,2
117,1,1,757,250,3
118,4,1,63,354,5
119,2,3,267,566,24
120,1,2,302,499,21
121,1,2,104,54,11
122,2,2,287,525,11
123,4,3,230,474,6
124,4,2,146,514,23
125,3,2,287,593,25
126,1,2,786,129,23
127,2,2,712,532,4
128,3,2,277,357,8
129,2,2,758,477,11
130,3,3,610,459,15
131,2,3,679,278,1
132,4,1,738,116,12
133,5,1,169,403,22
134,1,1,127,166,7
135,3,1,501,405,22
136,4,3,195,486,21
137,1,1,618,495,21
138,1,3,611,577,18
139,4,3,609,269,21
140,4,1,506,121,14
141,2,1,319,63,6
142,2,2,694,84,8
143,5,3,759,183,5
144,2,3,217,39,13
145,5,3,262,292,18
146,2,1,752,591,2
147,5,2,673,595,9
148,2,3,396,323,16
149,4,1,58,67,7
150,4,1,420,17,25
151,2,1,773,164,4
152,5,1,188,391,19
153,5,1,771,563,9
154,3,3,443,11,21
155,5,3,464,236,25
156,4,2,14,349,23
157,4,1,89,505,12
158,2,2,569,179,17
159,4,1,170,584,20
160,1,3,223,105,21
161,5,3,414,3,4
162,3,1,315,309,13
163,3,2,568,507,7
164,5,1,661,95,15
165,1,2,131,73,5
166,5,1,547,554,25
167,3,1,280,339,14
168,4,2,395,478,7
169,2,2,638,315,15
170,4,2,542,119,24
171,3,2,563,175,9
172,4,1,14,549,2
173,3,3,800,390,16
174,5,3,572,517,16
175,4,1,683,265,11
176,4,1,599,288,20
177,3,1,394,358,7
178,2,3,559,343,21
179,3,3,535,540,8
180,5,3,26,54,9
181,4,3,37,94,15
182,1,1,506,101,4
183,3,3,456,273,18
184,1,1,152,1,8
185,3,2,290,242,11
186,4,1,36,383,25
187,5,2,264,427,6
188,2,1,448,418,9
189,3,3,171,364,11
190,1,3,308,593,23
191,3,3,466,309,1
192,1,3,146,579,17
193,2,3,96,599,2
194,2,3,599,257,6
195,4,1,538,99,7
196,3,3,401,293,8
197,4,3,645,480,13
